"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"hsa-miR-324-3p ",104.083333333333,112,112,190,109.333333333333,129.166666666667
"hsa-miR-324-5p ",121.083333333333,128.333333333333,118.916666666667,201,134.416666666667,144.75
"hsa-miR-328-3p ",1150.66666666667,1268.83333333333,1083.16666666667,3433,1417.66666666667,1669.66666666667
"hsa-miR-329-3p ",772.166666666667,872.5,722,337.416666666667,578.166666666667,450.416666666667
"hsa-miR-329-5p ",96.9166666666667,95.5,97.3333333333333,100.833333333333,93.75,93.3333333333333
"hsa-miR-330-3p ",196.166666666667,225.5,176.083333333333,418.083333333333,215.166666666667,281.333333333333
"hsa-miR-330-5p ",151.583333333333,148.166666666667,146.166666666667,337.416666666667,140,228.25
"hsa-miR-331-3p ",271.833333333333,352,195.5,1253.33333333333,219.333333333333,525.333333333333
"hsa-miR-331-5p ",117.583333333333,113.666666666667,126.166666666667,97.5833333333333,122.75,111.833333333333
"hsa-miR-335-3p ",934.5,651,1669.66666666667,143.416666666667,885.333333333333,566
